"Região/UF de notificação";"Em branco/IGN";"<1 Ano";"1-4";"5-9";"10-14";"15-19";"20-39";"40-59";"60-64";"65-69";"70-79";"80 e +";"Total"
"Região Norte";16;4518;12107;20247;28618;33848;124343;83981;11909;8243;7878;2153;337861
".. Rondônia";2;268;862;1133;1450;1698;7560;6098;827;523;546;117;21084
".. Acre";-;254;887;1259;1563;1901;6611;3815;507;337;317;69;17520
".. Amazonas";1;547;1584;3055;4852;5540;18149;11381;1695;1113;1122;298;49337
".. Roraima";2;214;663;1185;1510;1687;5368;3272;407;313;262;75;14958
".. Pará";7;2084;4164;8358;13104;15975;58059;38731;5419;3736;3475;941;154053
".. Amapá";2;270;492;925;1370;1676;5668;3609;478;312;301;88;15191
".. Tocantins";2;881;3455;4332;4769;5371;22928;17075;2576;1909;1855;565;65718
"Região Nordeste";61;20986;73817;90768;91493;108193;433429;335161;57912;44636;54305;20668;1331429
".. Maranhão";2;979;2200;3560;4943;6046;22627;16879;2851;1987;2135;660;64869
".. Piauí";2;1137;3580;3601;3176;4504;20556;17638;3168;2514;2971;996;63843
".. Ceará";6;1696;6383;6732;6554;8929;40103;30121;5006;3896;4725;1879;116030
".. Rio Grande do Norte";5;1469;5376;6147;6137;8208;38281;27394;4457;3405;4141;1593;106613
".. Paraíba";2;1513;5887;6730;6245;7640;32215;25515;4530;3496;4695;1921;100389
".. Pernambuco";15;4897;20272;24650;22608;23483;90646;65525;11240;8756;10936;3925;286953
".. Alagoas";8;2024;10846;13141;13591;15836;58516;44088;7732;5931;6988;2290;180991
".. Sergipe";2;429;1657;2069;2302;3029;13199;10291;1639;1245;1319;480;37661
".. Bahia";19;6842;17616;24138;25937;30518;117286;97710;17289;13406;16395;6924;374080
"Região Sudeste";66;16656;60344;78383;84141;105897;458622;420632;84677;64958;75820;26546;1476742
".. Minas Gerais";38;9079;29784;39066;42073;51147;207829;192466;38609;29980;36446;13879;690396
".. Espírito Santo";6;767;3693;4621;5317;7312;33675;31371;5504;3831;4160;1370;101627
".. Rio de Janeiro";-;416;1111;1492;1783;2405;11724;11448;2113;1489;1523;500;36004
".. São Paulo";22;6394;25756;33204;34968;45033;205394;185347;38451;29658;33691;10797;648715
"Região Sul";17;6885;30695;29447;28868;40293;181722;164422;30804;23446;25511;7258;569368
".. Paraná";4;3441;17406;17363;16714;22860;98787;82954;14400;10973;11744;3438;300084
".. Santa Catarina";4;2273;8682;7432;7404;10666;49066;46911;8870;6507;7121;1890;156826
".. Rio Grande do Sul";9;1171;4607;4652;4750;6767;33869;34557;7534;5966;6646;1930;112458
"Região Centro-Oeste";7;2771;10838;13585;14993;18430;81101;69074;12127;8821;9333;2999;244079
".. Mato Grosso do Sul";4;759;3217;3732;4016;4888;19699;15182;2716;2038;2198;726;59175
".. Mato Grosso";1;467;1600;2316;2994;3438;15449;13589;2218;1406;1376;370;45224
".. Goiás";1;1206;4379;5330;5771;7409;34067;31550;5874;4422;4802;1559;106370
".. Distrito Federal";1;339;1642;2207;2212;2695;11886;8753;1319;955;957;344;33310
"Total";167;51816;187801;232430;248113;306661;1279217;1073270;197429;150104;172847;59624;3959479
&
