"Região/UF de notificação";"Ign/Branco";"Bothrops";"Crotalus";"Micrurus";"Lachesis";"Não Peçonhenta";"Total"
"Região Norte";170628;147030;3872;569;10914;4848;337861
".. Rondônia";12193;7719;111;80;265;716;21084
".. Acre";9866;6103;50;38;1108;355;17520
".. Amazonas";18323;24919;122;138;4809;1026;49337
".. Roraima";7874;5627;747;52;505;153;14958
".. Pará";64536;83483;884;116;3648;1386;154053
".. Amapá";6444;7992;111;34;524;86;15191
".. Tocantins";51392;11187;1847;111;55;1126;65718
"Região Nordeste";1205120;90302;17410;2908;698;14994;1331432
".. Maranhão";34365;22444;6451;273;177;1159;64869
".. Piauí";59047;2580;1469;181;21;545;63843
".. Ceará";102476;9682;1341;401;82;2049;116031
".. Rio Grande do Norte";99403;4910;700;244;16;1340;106613
".. Paraíba";92895;4576;901;282;19;1716;100389
".. Pernambuco";274904;5838;2419;553;74;3165;286953
".. Alagoas";176041;2010;633;235;45;2027;180991
".. Sergipe";35616;1432;182;80;15;336;37661
".. Bahia";330373;36830;3314;659;249;2657;374082
"Região Sudeste";1364961;86106;16269;1078;152;8178;1476744
".. Minas Gerais";634695;40739;11261;499;73;3129;690396
".. Espírito Santo";86613;13359;57;35;16;1547;101627
".. Rio de Janeiro";26412;8732;393;63;24;380;36004
".. São Paulo";617241;23276;4558;481;39;3122;648717
"Região Sul";527660;34095;2433;339;29;4816;569372
".. Paraná";285233;10248;2206;95;5;2298;300085
".. Santa Catarina";144336;10859;112;174;12;1334;156827
".. Rio Grande do Sul";98091;12988;115;70;12;1184;112460
"Região Centro-Oeste";193405;41342;6215;364;443;2311;244080
".. Mato Grosso do Sul";50965;6884;896;60;11;359;59175
".. Mato Grosso";24435;18247;1298;95;414;735;45224
".. Goiás";86998;14527;3609;171;14;1051;106370
".. Distrito Federal";31007;1684;412;38;4;166;33311
"Total";3461774;398875;46199;5258;12236;35147;3959489
